Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-59.51,30.0,59.92,-62.0,57.48,-96.0,0.0
-58.06,30.0,61.63,-62.0,57.2,-95.0,0.0
-56.61,30.0,61.14,-62.0,56.91,-95.0,0.0
-55.32,30.0,58.85,-62.0,56.63,-96.0,0.0
-53.69,30.0,61.56,-61.0,56.34,-95.0,0.0
-52.17,30.0,59.27,-61.0,56.06,-96.0,0.0
-50.65,30.0,57.99,-61.0,55.78,-96.0,0.0
-48.72,30.0,60.7,-61.0,55.5,-95.0,0.0
-46.81,30.0,58.48,-61.0,55.22,-96.0,0.0
-44.79,30.0,57.2,-61.0,54.95,-96.0,0.0
-42.23,30.0,59.92,-60.0,54.67,-95.0,0.0
-39.49,30.0,57.64,-60.0,54.4,-95.0,0.0
-36.42,30.0,56.16,-58.0,54.13,-96.0,0.0
-32.46,30.0,58.88,-58.0,53.86,-95.0,0.0
-27.94,30.0,55.61,-59.0,53.59,-96.0,0.0
-22.27,30.0,55.34,-58.0,53.32,-96.0,0.0
-14.62,30.0,58.07,-57.0,53.05,-95.0,0.0
-4.6,30.0,54.8,-57.0,52.79,-96.0,0.0
9.64,30.0,54.53,-56.0,52.52,-96.0,0.0
-65.0,30.0,58.26,-56.0,52.26,-95.0,0.0
-64.78,30.0,54.05,-56.0,52.0,-96.0,0.0
-64.58,30.0,53.78,-55.0,51.74,-96.0,0.0
-64.1,30.0,56.52,-55.0,51.48,-95.0,0.0
-63.95,30.0,53.26,-55.0,51.22,-96.0,0.0
-63.81,30.0,53.0,-54.0,50.97,-96.0,0.0
-63.29,30.0,56.74,-54.0,50.71,-95.0,0.0
-63.2,30.0,52.48,-53.0,50.46,-96.0,0.0
-63.11,30.0,52.23,-52.0,50.21,-96.0,0.0
-62.65,30.0,55.97,-52.0,49.96,-95.0,0.0
-62.6,30.0,51.72,-50.0,49.71,-96.0,0.0
-62.57,30.0,51.46,-49.0,49.46,-96.0,0.0
-62.15,30.0,55.21,-48.0,49.21,-94.0,0.0
