Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-71.63,20.0,15.75,-51.0,5.04,-48.0,9.71
-71.29,20.0,17.62,-48.0,5.01,-47.0,9.61
-71.19,20.0,15.5,-47.0,4.99,-46.0,9.52
-71.11,20.0,15.38,-46.0,4.96,-44.0,9.42
-70.84,20.0,17.26,-44.0,4.94,-42.0,9.33
-70.79,20.0,15.15,-42.0,4.91,-40.0,9.23
-70.76,20.0,15.03,-41.0,4.89,-37.0,9.14
-70.54,20.0,16.91,-38.0,4.86,-35.0,9.05
-70.54,20.0,14.8,-33.0,4.84,-33.0,8.96
-70.55,20.0,14.69,-31.0,4.82,-30.0,8.87
-70.37,20.0,16.57,-27.0,4.79,-22.0,8.78
-70.2,20.0,16.47,-23.0,4.77,-18.0,10.7
-69.78,20.0,19.16,-17.0,5.55,-12.0,12.61
-68.91,20.0,23.82,-10.0,6.33,-4.0,14.5
-68.02,20.0,24.47,-2.0,7.1,6.0,16.37
-66.91,20.0,27.09,10.0,7.87,21.0,18.22
-65.38,20.0,31.68,48.0,8.63,45.0,20.06
-64.11,20.0,29.44,-62.0,8.58,-62.0,19.86
-62.89,20.0,29.2,-61.0,8.54,-61.0,19.66
-61.51,20.0,30.96,-61.0,8.5,-61.0,19.46
-60.33,20.0,28.72,-60.0,8.46,-61.0,19.27
-59.17,20.0,28.49,-61.0,8.41,-60.0,19.07
-57.8,20.0,30.25,-59.0,8.37,-60.0,18.88
-56.61,20.0,28.02,-59.0,8.33,-60.0,18.69
-55.38,20.0,27.79,-59.0,8.29,-60.0,18.51
-53.92,20.0,29.57,-59.0,8.25,-58.0,18.32
-52.58,20.0,27.34,-60.0,8.2,-58.0,18.14
-51.16,20.0,27.12,-58.0,8.16,-58.0,17.96
-49.44,20.0,28.9,-58.0,8.12,-57.0,17.78
-47.78,20.0,26.68,-58.0,8.08,-57.0,17.6
-45.95,20.0,26.47,-57.0,8.04,-57.0,17.42
-43.7,20.0,28.25,-57.0,8.0,-55.0,17.25
-41.37,20.0,26.04,-57.0,7.96,-55.0,17.08
-38.67,20.0,25.83,-57.0,7.92,-55.0,16.91
-35.32,20.0,27.62,-56.0,7.88,-54.0,16.74
-31.49,20.0,25.41,-56.0,7.84,-54.0,16.57
-26.8,20.0,25.21,-55.0,7.8,-54.0,16.4
-20.67,20.0,27.01,-55.0,7.76,-53.0,16.24
-12.86,20.0,24.8,-55.0,7.73,-53.0,16.08
-2.21,20.0,24.6,-54.0,7.69,-52.0,15.92
13.31,20.0,26.41,-54.0,7.65,-52.0,15.76
-65.0,20.0,24.21,-54.0,7.61,-52.0,15.6
-64.84,20.0,24.02,-53.0,7.57,-51.0,15.44
-64.51,20.0,25.82,-53.0,7.53,-51.0,15.29
-64.39,20.0,23.63,-53.0,7.5,-50.0,15.14
-64.29,20.0,23.45,-51.0,7.46,-50.0,14.99
-64.01,20.0,25.26,-50.0,7.42,-48.0,14.84
-63.94,20.0,23.07,-50.0,7.38,-48.0,14.69
-63.89,20.0,22.89,-49.0,7.35,-47.0,14.54
-63.66,20.0,24.71,-48.0,7.31,-46.0,14.4
-63.64,20.0,22.53,-48.0,7.27,-45.0,14.25
-63.64,20.0,22.35,-46.0,7.24,-44.0,14.11
-63.55,20.0,23.17,-46.0,7.2,-42.0,13.97
-63.57,20.0,21.99,-45.0,7.17,-41.0,13.83
-63.61,20.0,21.82,-44.0,7.13,-39.0,13.69
-63.56,20.0,22.65,-43.0,7.09,-37.0,13.55
-63.63,20.0,21.48,-42.0,7.06,-35.0,13.42
-63.71,20.0,21.31,-38.0,7.02,-32.0,13.28
-63.7,20.0,22.14,-36.0,6.99,-30.0,13.15
-63.8,20.0,20.97,-35.0,6.95,-24.0,13.02
-63.92,20.0,20.81,-32.0,6.92,-20.0,12.89
-63.64,20.0,24.67,-28.0,6.88,-16.0,14.79
-63.38,20.0,24.5,-25.0,6.85,-9.0,16.65
-62.94,20.0,26.3,-22.0,6.82,0.0,18.48
-62.04,20.0,30.92,-16.0,7.62,11.0,20.3
-61.07,20.0,31.47,0.0,8.38,28.0,22.09
-60.04,20.0,32.03,9.0,9.16,-62.0,21.87
-58.74,20.0,34.56,24.0,9.91,-62.0,21.65
-57.55,20.0,33.11,48.0,10.67,-62.0,21.44
-56.33,20.0,32.84,-62.0,10.62,-62.0,21.22
-54.89,20.0,34.58,-62.0,10.57,-62.0,21.01
-53.59,20.0,32.31,-62.0,10.51,-62.0,20.8
-52.23,20.0,32.05,-62.0,10.46,-62.0,20.59
-50.59,20.0,33.79,-62.0,10.41,-62.0,20.39
-49.02,20.0,31.54,-62.0,10.36,-62.0,20.18
-47.32,20.0,31.28,-62.0,10.3,-62.0,19.98
-45.34,20.0,32.03,-62.0,10.25,-62.0,19.78
-43.23,20.0,30.78,-62.0,10.2,-62.0,19.58
-40.83,20.0,30.54,-62.0,10.15,-62.0,19.39
-37.97,20.0,31.29,-63.0,10.1,-62.0,19.19
-34.69,20.0,30.05,-63.0,10.05,-62.0,19.0
-30.75,20.0,29.81,-63.0,10.0,-62.0,18.81
-25.8,20.0,30.57,-63.0,9.95,-62.0,18.62
-19.51,20.0,30.34,-63.0,9.9,-62.0,18.44
-11.33,20.0,29.1,-63.0,9.85,-62.0,18.25
-0.0,20.0,29.87,-63.0,9.8,-62.0,18.07
16.46,20.0,29.64,-63.0,9.75,-62.0,17.89
-65.0,20.0,28.41,-63.0,9.7,-62.0,17.71
-64.78,20.0,29.19,-63.0,9.65,-62.0,17.53
-64.59,20.0,28.96,-63.0,9.61,-62.0,17.36
-64.51,20.0,27.74,-63.0,9.56,-62.0,17.18
-64.36,20.0,28.52,-63.0,9.51,-62.0,17.01
-64.22,20.0,28.3,-63.0,9.46,-62.0,16.84
-64.2,20.0,27.09,-63.0,9.42,-62.0,16.67
-64.1,20.0,27.87,-63.0,9.37,-62.0,16.51
-64.02,20.0,27.66,-62.0,9.32,-62.0,16.34
-64.06,20.0,26.45,-62.0,9.27,-62.0,16.18
-64.01,20.0,27.24,-62.0,9.23,-62.0,16.02
-63.97,20.0,27.04,-62.0,9.18,-62.0,15.86
