Spikeling Vm,Stimulus,Total Current Input,Synapse 1 Vm,Synapse 1 Input,Synapse 2 Vm,Synapse 2 Input
-42.43,1.0,27.58,0.0,0.0,0.0,0.0
-25.5,1.0,31.29,0.0,0.0,0.0,0.0
-50.0,1.0,30.68,0.0,0.0,0.0,0.0
-44.32,1.0,26.69,0.0,0.0,0.0,0.0
-32.56,1.0,26.85,0.0,0.0,0.0,0.0
5.41,1.0,26.75,0.0,0.0,0.0,0.0
-47.9,1.0,25.4,0.0,0.0,0.0,0.0
-41.71,1.0,27.16,0.0,0.0,0.0,0.0
-26.82,1.0,31.12,0.0,0.0,0.0,0.0
-50.0,1.0,28.94,0.0,0.0,0.0,0.0
-47.14,1.0,24.73,0.0,0.0,0.0,0.0
-42.28,1.0,24.7,0.0,0.0,0.0,0.0
-31.08,1.0,25.06,0.0,0.0,0.0,0.0
9.59,1.0,25.18,0.0,0.0,0.0,0.0
-49.35,1.0,30.01,0.0,0.0,0.0,0.0
-45.7,1.0,30.35,0.0,0.0,0.0,0.0
-39.04,1.0,28.11,0.0,0.0,0.0,0.0
-21.56,1.0,25.9,0.0,0.0,0.0,0.0
-50.0,1.0,24.95,0.0,0.0,0.0,0.0
-48.77,1.0,26.08,0.0,0.0,0.0,0.0
-45.62,1.0,27.13,0.0,0.0,0.0,0.0
-38.87,1.0,29.91,0.0,0.0,0.0,0.0
-21.85,1.0,30.2,0.0,0.0,0.0,0.0
-50.0,1.0,26.88,0.0,0.0,0.0,0.0
-48.83,1.0,24.74,0.0,0.0,0.0,0.0
-47.29,1.0,26.3,0.0,0.0,0.0,0.0
-43.68,1.0,25.05,0.0,0.0,0.0,0.0
-34.86,1.0,27.32,0.0,0.0,0.0,0.0
-8.48,1.0,31.11,0.0,0.0,0.0,0.0
-50.29,1.0,29.23,0.0,0.0,0.0,0.0
-49.26,1.0,24.87,0.0,0.0,0.0,0.0
-48.39,1.0,24.64,0.0,0.0,0.0,0.0
-47.27,1.0,25.92,0.0,0.0,0.0,0.0
-43.34,1.0,25.68,0.0,0.0,0.0,0.0
-33.94,1.0,29.95,0.0,0.0,0.0,0.0
-5.41,1.0,30.06,0.0,0.0,0.0,0.0
-50.09,1.0,29.02,0.0,0.0,0.0,0.0
-49.43,1.0,26.04,0.0,0.0,0.0,0.0
-48.0,1.0,25.02,0.0,0.0,0.0,0.0
-45.95,1.0,25.13,0.0,0.0,0.0,0.0
-40.96,1.0,27.1,0.0,0.0,0.0,0.0
-27.98,1.0,31.34,0.0,0.0,0.0,0.0
20.9,1.0,29.75,0.0,0.0,0.0,0.0
-49.24,1.0,27.18,0.0,0.0,0.0,0.0
-48.29,1.0,26.18,0.0,0.0,0.0,0.0
-46.29,1.0,24.91,0.0,0.0,0.0,0.0
-42.71,1.0,24.85,0.0,0.0,0.0,0.0
-33.73,1.0,28.91,0.0,0.0,0.0,0.0
-5.06,1.0,29.95,0.0,0.0,0.0,0.0
-50.46,1.0,29.98,0.0,0.0,0.0,0.0
-50.72,1.0,25.07,0.0,0.0,0.0,0.0
-51.66,1.0,24.69,0.0,0.0,0.0,0.0
-53.21,1.0,26.0,0.0,0.0,0.0,0.0
-54.43,1.0,25.83,0.0,0.0,0.0,0.0
-55.76,1.0,29.95,0.0,0.0,0.0,0.0
-57.15,1.0,30.07,0.0,0.0,0.0,0.0
-59.11,1.0,29.3,0.0,0.0,0.0,0.0
-60.57,1.0,26.2,0.0,0.0,0.0,0.0
-62.51,1.0,25.39,0.0,0.0,0.0,0.0
-64.66,1.0,25.05,0.0,0.0,0.0,0.0
-66.36,1.0,27.38,0.0,0.0,0.0,0.0
-67.3,1.0,31.01,0.0,0.0,0.0,0.0
-67.79,1.0,29.83,0.0,0.0,0.0,0.0
-67.97,1.0,26.42,0.0,0.0,0.0,0.0
-68.18,1.0,24.97,0.0,0.0,0.0,0.0
-68.46,1.0,24.73,0.0,0.0,0.0,0.0
-68.95,0.0,23.55,0.0,0.0,0.0,0.0
-70.19,0.0,18.85,0.0,0.0,0.0,0.0
-74.03,0.0,14.94,0.0,0.0,0.0,0.0
-79.32,0.0,5.77,0.0,0.0,0.0,0.0
-84.19,0.0,0.89,0.0,0.0,0.0,0.0
-85.92,0.0,1.52,0.0,0.0,0.0,0.0
-86.65,0.0,1.88,0.0,0.0,0.0,0.0
-86.73,0.0,1.65,0.0,0.0,0.0,0.0
-86.49,0.0,5.72,0.0,0.0,0.0,0.0
-86.02,0.0,5.78,0.0,0.0,0.0,0.0
-86.19,0.0,4.43,0.0,0.0,0.0,0.0
-85.29,0.0,0.9,0.0,0.0,0.0,0.0
-84.97,0.0,1.35,0.0,0.0,0.0,0.0
-85.39,0.0,2.79,0.0,0.0,0.0,0.0
-85.43,0.0,2.83,0.0,0.0,0.0,0.0
-85.03,0.0,5.91,0.0,0.0,0.0,0.0
-84.86,0.0,6.83,0.0,0.0,0.0,0.0
-84.08,0.0,3.84,0.0,0.0,0.0,0.0
-83.68,0.0,2.35,0.0,0.0,0.0,0.0
-83.89,0.0,0.89,0.0,0.0,0.0,0.0
-84.46,0.0,0.91,0.0,0.0,0.0,0.0
-84.57,0.0,5.39,0.0,0.0,0.0,0.0
-83.74,0.0,8.28,0.0,0.0,0.0,0.0
-83.01,0.0,5.8,0.0,0.0,0.0,0.0
-82.62,0.0,2.24,0.0,0.0,0.0,0.0
-82.49,0.0,1.82,0.0,0.0,0.0,0.0
-82.87,0.0,1.83,0.0,0.0,0.0,0.0
-83.26,0.0,2.38,0.0,0.0,0.0,0.0
-82.9,0.0,4.9,0.0,0.0,0.0,0.0
-83.09,0.0,5.0,0.0,0.0,0.0,0.0
-83.14,0.0,3.45,0.0,0.0,0.0,0.0
-82.62,0.0,0.9,0.0,0.0,0.0,0.0
