Designator,Footprint,Quantity,Value,LCSC Part Number
B1,BUZ-TH_L12.0-W12.0,1,4kHz,C7421651
"C1, C3",C_1206,2,22uF,C5672
C10,C_0402,1,3.3pF,C1565
C11,C_0603,1,1nF,C1588
"C12, C4, C5, C6, C7, C8, C9",C_0402,7,100nF,C1525
C2,C_0603,1,10uF,C19702
D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5817WS,C489146
"D2, D3, D4",SOD-523_L1.2-W0.8-LS1.6-BI,3,LESD5D5.0CT1G,C383211
D5,D_0603,1,Red,C2286
D6,SENSOR-TH_BPW34S-Z,1,BPW34S-Z,C67891
D7,LED-SMD_4P-L3.2-W2.8-BL,1,MHPC3528CRGBCT,C2962096
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
"J2, J3, J4, J5, J6",AUDIO-SMD_PJ-320B,5,PJ-320B贴片,C18594
L1,L0805,1,BLM21PG221SN1D,C85840
"R1, R2, R3",R_0603,3,5.1kΩ,C23186
"R10, R5, R8",R_0603,3,100Ω,C22775
"R11, R12, R4",R_0603,3,10kΩ,C25804
R6,R_0603,1,0Ω,C21189
R7,R_0603,1,1MΩ,C22935
R9,R_0603,1,10Ω,C22859
SW1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
"SW2, SW3, SW4",KEY-TH_4P-L7.5-W6.8-P4.50-LS7.2,3,SKHHLVA010,C110289
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913197
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117,C6186
"U3, U4",SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,2,MCP3208T-CI/SL,C626764
U5,VSSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,OPA380AIDGKR,C2057355
"VR1, VR2, VR4, VR5, VR6, VR7",RES-TH_RK09D1130C3C,6,10kΩ,C470316
VR3,RES-TH_RK09D1130C2P,1,10kΩ,C361173
