Designator,Mid X,Mid Y,Rotation,Layer
._2,55.05,-73.9,0.0,top
.,56.0,-15.375,0.0,top
B1,90.675,-15.5,0.0,top
C1,38.0,-8.3,180.0,top
C10,33.975,-69.175,180.0,top
C11,112.5,-18.78,270.0,top
C12,82.0,-16.0,90.0,top
C2,47.975,-3.775,90.0,top
C3,38.0,-13.95,180.0,top
C4,39.0,-16.55,180.0,top
C5,71.025,-32.72,0.0,top
C6,46.85,-19.575,90.0,top
C7,40.0,-25.55,0.0,top
C8,90.05,-25.55,180.0,top
C9,38.3,-71.95,270.0,top
D1,56.425,-10.0,0.0,top
D2,58.25,-12.0,180.0,top
D3,62.75,-12.0,0.0,top
D4,52.725,-10.75,270.0,top
D5,52.325,-0.85,180.0,top
D6,41.35025,-74.025,0.0,top
D7,70.8,-10.675,0.0,top
J1,60.0,-3.6,180.0,top
J2,6.0,-74.5,180.0,top
J3,5.5,-6.1,90.0,top
J4,5.5,-34.0,90.0,top
J5,114.0,-74.5,180.0,top
J6,114.5,-14.0,270.0,top
L1,51.766,-6.0,180.0,top
R1,62.0,-9.0,270.0,top
R10,76.075,-11.425,0.0,top
R11,87.5,-2.75,0.0,top
R12,107.5,-2.75,0.0,top
R2,59.0,-9.0,270.0,top
R3,48.325,-0.85,0.0,top
R4,72.5,-2.75,180.0,top
R5,48.2,-19.575,90.0,top
R6,38.66,-10.95,0.0,top
R7,33.975,-70.325,0.0,top
R8,114.0,-68.225,180.0,top
R9,110.025,-18.825,270.0,top
SW1,45.925,-14.925,0.0,top
SW2,30.0,-4.075,180.0,top
SW3,80.0,-4.075,180.0,top
SW4,100.0,-4.075,180.0,top
U1,59.925,-30.0,180.0,top
U2,45.025,-8.3,180.0,top
U3,35.0,-30.0,180.0,top
U4,85.0,-30.0,180.0,top
U5,33.95,-74.025,90.0,top
VR1,18.55,-70.825,180.0,top
VR2,54.12,-70.825,180.0,top
VR3,76.5,-70.825,180.0,top
VR4,113.0,-29.797,180.0,top
VR5,113.0,-55.425,180.0,top
VR6,7.0,-17.225,180.0,top
VR7,7.0,-45.225,180.0,top
